customer_id,name,email,phone,city,signup_date,segment
1,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,Robinsonshire,2025-07-02,VIP
2,Sean Blake,helenpeterson@example.org,651.216.1559,South Christianport,2025-07-20,Regular
3,Lisa Hensley,janetwilliams@example.org,001-341-431-6475x25534,East Steven,2024-11-12,Regular
4,Timothy Watts,gabriellecameron@example.org,505.964.1395,Thomasberg,2024-05-19,VIP
5,Justin Baker,zhurst@example.com,828.371.0122,Riceside,2024-05-05,Regular
6,Alexandra Le,kayla51@example.com,(727)404-8281x48932,New Mariotown,2024-11-19,Regular
7,Jack Galloway,john39@example.org,671-882-2782,Lake Larry,2026-05-15,Premium
8,Marie Kim DDS,wrightcaleb@example.org,001-383-293-0103,New Johnfort,2026-01-01,Premium
9,Carlos Walls,esanchez@example.com,311.265.6670,Laurenville,2024-05-28,Premium
10,Connor West,dwhite@example.org,478-810-8013,Port Richard,2024-09-11,Premium
11,James Galloway,sara74@example.com,001-287-223-4309x805,North Susan,2025-01-15,Premium
12,Cody Larson,richarddavid@example.net,799.609.1699,Johnfurt,2023-09-18,Premium
13,Matthew Bryant,smithchristine@example.net,518-738-4251,Bassport,2023-12-30,VIP
14,Victoria Valdez,contrerasangela@example.net,524-711-8244,Williamview,2023-09-17,VIP
15,Sarah Davis,ccalderon@example.org,,West Michaelton,2024-07-02,Regular
16,Christine Wright,gomezanita@example.com,+1-423-322-6025x634,Port Thomasborough,2024-05-03,Regular
17,Julia Torres,jeffreykeller@example.com,641-245-8685x01429,Reedmouth,2023-05-19,Premium
18,William Wilson,jonathanfletcher@example.org,783.856.1595x14846,East Robert,2025-06-08,Regular
19,Megan Orr,richard04@example.com,969.495.7773,Zacharymouth,2025-04-20,VIP
20,Trevor Young,jeffrey32@example.org,8379917693,Lake Grace,2024-05-24,Regular
21,Shannon Mcclure,zrobinson@example.net,870.983.1727x88957,Colebury,2026-02-18,VIP
22,Destiny Strickland,rsims@example.com,443-545-5812,Lake Jason,2024-05-03,VIP
23,Gary Owens,clarkrobert@example.net,001-509-967-0546x688,Tuckerfurt,2023-10-07,Regular
24,  MICHAEL POWELL  ,marycalhoun@example.net,+1-906-499-0162,Murphymouth,2023-03-06,Regular
25,Philip Gray,fking@example.com,5802531003,East Thomas,2025-03-03,VIP
26,Travis Marshall,katie29@example.net,001-512-341-9049x6631,Melissaville,2025-06-08,VIP
27,Kylie Williams,ESTANLEY@EXAMPLE.NET,+1-650-967-1657x2628,Marcusbury,2024-08-16,Regular
28,Angelica Keith,karenhudson@example.net,(650)275-2735x4549,North John,2024-10-21,Premium
29,Justin Allen,fbrewer@example.com,9147363495,Michaelmouth,2024-06-26,Premium
30,David Martinez,leslienewton@example.net,(333)574-9894,Harrytown,2024-01-14,VIP
31,Beth Williams,tranheidi@example.org,+1-971-309-4777x5204,Vasquezshire,2025-11-15,Regular
32,Amy Hernandez,christopher31@example.net,001-269-399-3867x74964,Lake Jason,2026-04-24,VIP
33,Brooke Thompson,moorericky@example.net,+1-574-803-4471x349,Lake Edward,2023-05-27,Regular
34,Charles Brown,brooke94@example.com,374-264-8877,Cassandratown,2026-02-08,VIP
35,Vernon Huff,keyemily@example.com,001-802-978-7429,Baileymouth,2026-05-21,VIP
36,Brian Martin,ssteele@example.net,,Cindyfort,2023-03-11,Regular
37,Olivia Harris,sarakim@example.net,310.993.2480x8613,South Sarah,2026-04-23,Premium
38,Michael Perry,pbaird@example.com,+1-826-739-8214,Loriport,2026-04-07,VIP
39,Sara Carpenter,cgrimes@example.net,855.288.6753x3963,Thorntonfurt,2024-02-10,Regular
40,Matthew Hoover,tylerjohnson@example.net,001-851-471-8702,Matthewfurt,2023-04-06,VIP
41,Sarah Phelps,ofinley@example.net,001-478-609-1343x16117,West Lauraport,2026-02-26,VIP
42,Jeffrey Sanchez,yknight@example.org,(421)596-9379,Stevetown,2024-08-11,Premium
43,Julie Roberts,charleslandry@example.net,664-674-3671x3695,Hillshire,2023-01-28,Regular
44,Paula Beltran,swall@example.org,+1-753-439-4210x470,Markchester,2023-04-26,VIP
45,Carlos Ryan,alyssa42@example.com,245.617.1236x8516,Richardsonview,2024-11-15,Regular
46,Samantha Bentley,leonardthomas@example.net,+1-459-231-7461,Wendyville,2026-04-22,Regular
47,Stephen Taylor,vwatson@example.net,+1-669-226-1796,South Sean,2025-05-30,Premium
48,Jack Pollard,amy50@example.com,531-371-3900x532,New Jason,2025-11-24,VIP
49,Erin Hernandez,ramireztracey@example.org,+1-742-210-2053,East Judyhaven,2023-08-11,VIP
50,Arthur West,william17@example.net,890.884.7007,Josephmouth,2025-05-25,Premium
51,Bobby Franklin,martinezclaudia@example.net,+1-856-398-4789,Port Dianaside,2025-10-08,Regular
52,Cindy Hayes,robertwilcox@example.com,(315)765-4527x11116,New Sueside,2025-11-01,Premium
53,Bryan Gomez,uparrish@example.org,794-351-9832x7315,Port Roy,2025-08-31,VIP
54,Patricia Howell,lynchdiane@example.net,302-444-5502x296,North Julieborough,2025-08-03,Premium
55,Jesse Moore,jennifer99@example.org,9229901476,Port William,2024-06-12,VIP
56,Brian Gregory,trose@example.org,669.600.3432,South Julieburgh,2024-02-23,Regular
57,Joseph Hall,charles06@example.org,715.496.9664x160,Collierstad,2025-10-19,Regular
58,Ryan Sanchez,zwarren@example.com,001-453-552-1818x8355,Jamesberg,2023-05-12,Regular
59,Mary Thompson,kmarshall@example.net,299.755.2717x744,Steventon,2024-10-09,VIP
60,Ronald Jones,gilbertwilliam@example.com,001-480-279-3597,Toniland,2024-07-28,VIP
61,Carrie Wright,hritter@example.net,+1-725-354-6659x051,Mitchellberg,2024-12-12,Regular
62,Kevin Thomas,kyle62@example.net,001-214-786-5281x685,West Stacey,2024-01-30,Regular
63,Mr. Chad Jones,romeroamber@example.net,805.792.9622x29270,South Cheryl,2025-05-13,Premium
64,Rachel Young,,859.477.4688,Port John,2025-11-08,Premium
65,Shelly Spencer,DAWSONZACHARY@EXAMPLE.ORG,812-247-8261x3750,Joeland,2024-05-20,Regular
66,Alfred Galvan,lacey20@example.com,827.379.0104x3289,West David,2025-09-17,Regular
67,Mark Dean,rodriguezrebecca@example.net,+1-708-593-2460,Lake Elizabeth,2024-12-29,Premium
68,Heather Ashley,myerstheodore@example.net,(754)705-1531x9520,Port Kimberly,2025-11-04,Regular
69,Michael Welch,bryanparsons@example.com,8439030548,West Michael,2023-11-20,VIP
70,Sharon Rivera,lloydsamuel@example.com,001-876-452-7758x4161,Curtismouth,2024-11-27,Regular
71,Elizabeth Morrison,cjackson@example.com,205.496.4016x582,Johnsonland,2025-12-18,Regular
72,Matthew Cox,jacobserika@example.com,(271)492-8565x431,Mcintyreville,2024-09-28,VIP
73,David Griffin,heather73@example.org,,Port Michael,2025-12-22,Regular
74,William Conner,kristyjohnson@example.net,001-857-982-9114,Morrowland,2024-11-01,Premium
75,Evan Jones,wfrazier@example.org,001-789-522-6801x82422,Meghanview,2024-03-17,VIP
76,Tyler Hill,christina18@example.net,(299)222-9959,Debrashire,2023-04-14,Premium
77,Mark Jimenez,dawn47@example.org,+1-464-771-0276x77359,Jessicastad,2026-01-04,Premium
78,Bianca Wood,,732.510.4696x325,Ferrellmouth,2025-08-31,Premium
79,Mr. Alexander Landry MD,jasongomez@example.org,779-274-8016x2456,West Angela,2024-05-26,Premium
80,Jonathan Duran,,(816)255-8523,Lake Mason,2023-02-27,Premium
81,Jesus Obrien,markaustin@example.org,(794)795-8887x9470,Silvatown,2025-05-09,VIP
82,Deborah Rios,jennifersilva@example.org,896.523.0913x07562,Salaston,2024-06-07,Regular
83,Kelly Hoffman,ufox@example.org,685.585.4973x348,Kellieborough,2026-04-16,Regular
84,Katherine Castillo,keith98@example.com,(652)640-4157x4733,East Brent,2023-06-25,Premium
85,Courtney Hall,gutierrezjennifer@example.org,+1-520-282-6773x45401,South Nicole,2026-03-11,Premium
86,Thomas Osborn,lfrench@example.net,400-949-9154x7887,West Franciscomouth,2023-12-15,VIP
87,Michelle Smith,krystal93@example.org,+1-566-285-1612x275,South Karen,2023-11-29,VIP
88,Elizabeth Sharp,greenmichael@example.org,6177426841,East Timothy,2025-02-23,Premium
89,William Brooks,ztodd@example.net,339.218.7851,New Amanda,2025-11-23,Premium
90,Scott Ramos,jenniferburns@example.net,207.828.6790x874,Lake Jefferyland,2023-11-21,Regular
91,Gregory Brown,michaelcesar@example.com,8468226567,Lake Michelle,2023-04-13,Regular
92,Willie Long,jessicawalker@example.org,001-504-378-6863x37524,Mendeztown,2023-02-11,VIP
93,Austin Wheeler,tharper@example.org,,Barbaramouth,2025-11-06,Regular
94,Shawn Odom,roberthill@example.net,001-726-887-0568,Nicholasside,2024-06-04,Regular
95,Samuel Turner,lindamelendez@example.net,(568)282-6343x51751,Port Charlesshire,2023-12-09,Premium
96,Kristin Mendoza,kevin03@example.org,001-717-639-3638x5467,Owensfort,2023-11-30,Premium
97,Erica Harris,robert93@example.net,(504)789-9642,South Andrea,2023-10-21,Premium
